AC,TSI,PI,,,
0.136014,,,,,
0.1055584,,,,,
0.0531235,,,,,
0.0027532,,,,,
0.0212926,,,,,
0.0375528,,,,,
0.0141945,,,,,
0.0141945,,,,,
0.0311432,,,,,
0.0714492,,,,,
0.0707597,,,,,
0.1096897,,,,,
0.2109041,,,,,
0.1323586,,,,,
0.0226689,,,,,
0.0460263,,,,,
0.1323576,,,,,
0.0863313,,,,,
0.014883,,,,,
0.0368634,,,,,
0.0050316,,,,,
0.0027533,,,,,
0.0050325,,,,,
0.032734,,,,,
0.0313568,,,,,
0.0238314,,,,,
0.0167351,,,,,
0.0400915,,,,,
0.0174226,,,,,
0.0061951,,,,,
0.034111,,,,,
0.0686951,,,,,
0.0700712,,,,,
0.0325203,,,,,
0.0382404,,,,,
0.0531235,,,,,
0.0652532,,,,,
0.1197539,,,,,
0.1522732,,,,,
0.1309814,,,,,
0.1394549,,,,,
0.058156,,,,,
0.0680074,,,,,
0.0396166,,,,,
0.0318318,,,,,
0.1635017,,,,,
0.1868582,,,,,
