intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
5401,0.1639,,,,,,,,,,
5264,0.2012,,,,,,,,,,
5088,0.2725,,,,,,,,,,
4977,0.2937,,,,,,,,,,
4897,0.2683,,,,,,,,,,
4723,0.3748,,,,,,,,,,
4588,0.2527,,,,,,,,,,
4518,0.2505,,,,,,,,,,
4415,0.2515,,,,,,,,,,
4366,0.1696,,,,,,,,,,
4191,0.354,,,,,,,,,,
4114,0.3337,,,,,,,,,,
3971,0.4334,,,,,,,,,,
3895,0.4268,,,,,,,,,,
3803,0.438,,,,,,,,,,
3710,0.1806,,,,,,,,,,
3617,0.2195,,,,,,,,,,
3555,0.2436,,,,,,,,,,
3493,0.2047,,,,,,,,,,
3344,0.3639,,,,,,,,,,
3305,0.3016,,,,,,,,,,
3233,0.3606,,,,,,,,,,
3141,0.424,,,,,,,,,,
3105,0.4255,,,,,,,,,,
3004,0.5217,,,,,,,,,,
2940,0.5055,,,,,,,,,,
2895,0.4762,,,,,,,,,,
2793,0.6374,,,,,,,,,,
2759,0.6338,,,,,,,,,,
2730,0.582,,,,,,,,,,
2644,0.6907,,,,,,,,,,
2636,0.5872,,,,,,,,,,
2569,0.6549,,,,,,,,,,
2506,0.641,,,,,,,,,,
2420,0.8185,,,,,,,,,,
2378,0.7833,,,,,,,,,,
2355,0.8785,,,,,,,,,,
2309,0.5729,,,,,,,,,,
2236,0.7943,,,,,,,,,,
2225,0.5999,,,,,,,,,,
2196,0.648,,,,,,,,,,
2115,0.7859,,,,,,,,,,
2071,0.8357,,,,,,,,,,
2051,0.8969,,,,,,,,,,
2047,0.7187,,,,,,,,,,
1972,0.8529,,,,,,,,,,
1953,0.9447,,,,,,,,,,
1902,1,,,,,,,,,,
