690,750,800,850,ua,690n,750n,800n,850n,690i,750i,800i,850i,uaa,690ni,750ni,800ni,850ni
4015,3905,4035,3970,0.9706,,,,,7342,11461,11718,8080,0.3245,,,,
3971,3816,3936,3899,0.9431,,,,,7508,11806,12018,8300,0.3703,,,,
3881,3708,3819,3824,0.9644,,,,,7716,12139,12378,8534,0.4018,,,,
3788,3632,3769,3732,0.9624,,,,,7929,12505,12750,8772,0.3817,,,,
3710,3593,3658,3678,0.9608,,,,,8116,12872,13141,9072,0.4231,,,,
3611,3482,3601,3588,0.9719,,,,,8417,13256,13536,9308,0.3217,,,,
3576,3388,3559,3515,0.9376,,,,,8576,13676,13922,9628,0.4095,,,,
3586,3333,3448,3456,0.9031,,,,,8870,14164,14415,9963,0.3932,,,,
3454,3316,3397,3391,0.9141,,,,,9124,14741,14865,10265,0.3401,,,,
3368,3242,3318,3320,0.9534,,,,,9336,15043,15283,10644,0.4439,,,,
3312,3119,3260,3224,0.9336,,,,,9645,15493,15782,10852,0.386,,,,
3246,3101,3204,3214,0.9189,,,,,9908,16056,16255,11168,0.3893,,,,
3190,3066,3195,3145,0.9125,,,,,10275,16596,16750,11702,0.3114,,,,
3125,2994,3099,3055,0.9221,,,,,10621,17220,17386,12091,0.2822,,,,
3115,2917,3064,3039,0.8851,,,,,10889,17717,17849,12415,0.3452,,,,
3073,2876,2998,2977,0.8932,,,,,11240,18290,18382,12728,0.3566,,,,
3006,2839,2955,2925,0.8738,,,,,11569,18864,19100,13154,0.3429,,,,
2969,2779,2837,2835,0.8815,,,,,11943,19406,19641,13662,0.3603,,,,
2931,2736,2851,2799,0.8703,,,,,12317,20040,20283,14044,0.3675,,,,
2892,2700,2760,2758,0.8574,,,,,12670,20884,20955,14552,0.4065,,,,
2814,2626,2730,2698,0.8703,,,,,13099,21458,21647,15016,0.3773,,,,
2785,2607,2761,2716,0.8428,,,,,13685,22354,22531,15584,0.224,,,,
2791,2604,2714,2651,0.8092,,,,,14144,23235,23329,16218,0.2317,,,,
2682,2537,2627,2582,0.8631,,,,,14495,23677,23894,16593,0.3346,,,,
2679,2469,2601,2547,0.8314,,,,,14951,24588,24811,17101,0.3708,,,,
2638,2455,2560,2514,0.8287,,,,,15373,25261,25664,17667,0.447,,,,
2628,2418,2511,2480,0.795,,,,,15896,26261,26461,18364,0.4519,,,,
2599,2331,2490,2448,0.778,,,,,16499,27271,27345,19005,0.4085,,,,
2513,2350,2438,2407,0.8193,,,,,16999,28069,28306,19564,0.4738,,,,
2496,2318,2449,2370,0.821,,,,,17628,29150,29382,20386,0.4758,,,,
2481,2339,2382,2349,0.7748,,,,,18278,30453,30388,21167,0.4467,,,,
2444,2293,2369,2308,0.7661,,,,,18844,31485,31425,21914,0.5179,,,,
2417,2232,2349,2290,0.7721,,,,,19474,32495,32480,22652,0.5806,,,,
2357,2215,2311,2264,0.7672,,,,,20188,33705,33619,23449,0.5694,,,,
2366,2222,2279,2290,0.7355,,,,,20967,34994,35041,24351,0.5677,,,,
2329,2171,2260,2224,0.7402,,,,,21576,36147,36032,25173,0.303,,,,
2300,2148,2217,2167,0.7355,,,,,22365,37427,37396,25979,0.3304,,,,
2258,2117,2176,2155,0.7456,,,,,23048,38733,38812,27045,0.4555,,,,
2227,2062,2172,2117,0.7483,,,,,23857,40068,40092,27979,0.5245,,,,
2182,2050,2135,2095,0.7702,,,,,24798,41482,41484,28980,0.33,,,,
2180,2034,2112,2050,0.7535,,,,,25656,42877,42903,30009,0.4261,,,,
2142,2005,2113,2010,0.7583,,,,,26464,44497,44486,31196,0.5717,,,,
2175,1987,2075,2034,0.6507,,,,,27449,46047,46019,32261,0.4055,,,,
2107,1974,2037,2002,0.7177,,,,,28476,47614,47625,33410,0.4901,,,,
2081,1922,2040,1975,0.7305,,,,,29329,49354,49357,34656,0.4872,,,,
2056,1935,1990,1967,0.7158,,,,,30415,51294,51042,36040,0.5802,,,,
2052,1884,1970,1944,0.6956,,,,,31570,53172,52694,37441,0.6795,,,,
2022,1860,1954,1907,0.7001,,,,,32700,54917,54613,38738,0.3807,,,,
1977,1844,1944,1868,0.6822,,,,,33797,56644,56402,39933,0.3342,,,,
1989,1792,1926,1890,0.6795,,,,,34997,58452,58519,41292,0.5185,,,,
1947,1792,1871,1870,0.7144,,,,,36218,60441,60514,42830,0.3638,,,,
1940,1782,1881,1838,0.6724,,,,,37528,63012,62810,44155,0.5362,,,,
65108,64567,65164,64849,0.2995,,,,,1546,1936,2058,1558,0.1823,,,,
64706,61735,64216,63423,0.2027,,,,,1561,1937,2067,1577,0.0997,,,,
59862,59248,59676,59657,0.545,,,,,1614,1941,2080,1596,0,,,,
58095,57361,57684,57781,0.3283,,,,,1557,1992,2128,1596,0.4951,,,,
55892,55332,55681,55877,0.4629,,,,,1589,1997,2157,1650,0.5479,,,,
53976,53365,53967,53850,0.3337,,,,,1603,2048,2158,1658,0.304,,,,
52187,51619,52088,51961,0.6106,,,,,1633,2018,2172,1636,0.4579,,,,
50362,49883,50123,50270,0.5095,,,,,1685,2050,2219,1660,0.1158,,,,
48566,48038,48477,48326,0.4398,,,,,1626,2078,2261,1655,0.678,,,,
46774,46422,46696,46695,0.3794,,,,,1699,2144,2281,1696,0.029,,,,
45253,44678,45022,45142,0.4659,,,,,1665,2140,2288,1702,0.3598,,,,
43621,42961,43450,43404,0.4271,,,,,1717,2161,2344,1728,0.2636,,,,
42116,41292,42035,41765,0.3645,,,,,1717,2190,2354,1740,0.3052,,,,
40650,39990,40513,40351,0.3164,,,,,1716,2189,2322,1777,0.3951,,,,
39310,38655,39092,39026,0.2447,,,,,1739,2268,2384,1772,0.2488,,,,
37852,37094,37647,37393,0.2564,,,,,1746,2285,2453,1788,0.5529,,,,
36556,35699,36268,36092,0.2176,,,,,1788,2327,2469,1854,0.3459,,,,
35376,34532,35109,34804,0.1578,,,,,1765,2346,2511,1828,0.4751,,,,
34115,33461,33798,33572,0.1601,,,,,1804,2376,2496,1871,0.4788,,,,
32882,32076,32677,32438,0.1556,,,,,1808,2428,2537,1876,0.4101,,,,
31821,31103,31454,31372,0.1317,,,,,1850,2442,2578,1911,0.4842,,,,
30653,29849,30272,30055,0.1429,,,,,1832,2485,2616,1917,0.5499,,,,
29672,28890,29307,29035,0.1194,,,,,1899,2497,2686,1961,0.409,,,,
