pixel#,intensity1,depth1,reflection1,absorption1,intensity2,depth2,reflection2,absorption2,D,iii,aaa
1,1,25.77394213,0.000376197,0.138004958,0.000113055,74.65508251,4.49E-05,0.234893814,1.6924,1.000113055,0.372898772
2,0.962623027,26.158833,0.000365212,0.138004958,0.001102287,74.27019164,4.53E-05,0.112257248,1.6924,0.963725314,0.250262206
3,0.929163001,26.54372387,0.000354701,0.138004958,0,73.88530077,4.58E-05,0.470565296,1.6924,0.929163001,0.608570254
4,0.894590961,26.92861474,0.000344637,0.138004958,0.001837144,73.5004099,4.63E-05,0.159762629,1.6924,0.896428105,0.297767587
5,0.859471212,27.3135056,0.000334996,0.138004958,0.000819649,73.11551903,4.68E-05,0.49203127,1.6924,0.860290861,0.630036228
6,0.828533966,27.69839647,0.000325754,0.138004958,0.002430683,72.73062816,4.73E-05,0.245358067,1.6924,0.830964649,0.383363025
7,0.796916234,28.08328734,0.000316888,0.138004958,0.001667562,72.34573729,4.78E-05,0.517878379,1.6924,0.798583796,0.655883337
8,0.768103434,28.46817821,0.00030838,0.138004958,0.002798112,71.96084642,4.83E-05,0.384606913,1.6924,0.770901546,0.522611871
9,0.737564522,28.85306908,0.00030021,0.138004958,0.00180888,71.57595555,4.88E-05,0.707644743,1.6924,0.739373402,0.845649701
10,0.71104214,29.23795995,0.000292361,0.138004958,0.003674288,71.19106468,4.93E-05,0.425496903,1.6924,0.714716428,0.563501861
11,0.683274966,29.62285082,0.000284815,0.138004958,0.004069981,70.80617382,4.99E-05,0.458044631,1.6924,0.687344947,0.596049589
12,0.65552439,30.00774169,0.000277557,0.138004958,0.005398378,70.42128295,5.04E-05,0.314295063,1.6924,0.660922768,0.452300021
13,0.628321522,30.39263256,0.000270574,0.138004958,0.003250332,70.03639208,5.10E-05,0.8532055,1.6924,0.631571854,0.991210458
14,0.604985809,30.77752343,0.000263851,0.138004958,0.004776575,69.65150121,5.15E-05,0.661079224,1.6924,0.609762384,0.799084182
15,0.583326418,31.1624143,0.000257375,0.138004958,0.006641983,69.26661034,5.21E-05,0.427727335,1.6924,0.589968401,0.565732293
16,0.55750112,31.54730517,0.000251135,0.138004958,0.006528928,68.88171947,5.27E-05,0.56444503,1.6924,0.564030048,0.702449988
17,0.536024298,31.93219603,0.000245118,0.138004958,0.006331082,68.4968286,5.33E-05,0.718658,1.6924,0.54235538,0.856662958
18,0.516788103,32.3170869,0.000239316,0.138004958,0.006952884,68.11193773,5.39E-05,0.724689075,1.6924,0.523740987,0.862694033
19,0.496174337,32.70197777,0.000233717,0.138004958,0.007829061,67.72704686,5.45E-05,0.689448751,1.6924,0.504003398,0.827453709
20,0.477884184,33.08686864,0.000228312,0.138004958,0.008394336,67.34215599,5.51E-05,0.712758841,1.6924,0.48627852,0.850763799
21,0.461386533,33.47175951,0.000223093,0.138004958,0.008931347,66.95726512,5.58E-05,0.743647103,1.6924,0.47031788,0.881652061
22,0.442349505,33.85665038,0.000218051,0.138004958,0.010514118,66.57237425,5.64E-05,0.606789267,1.6924,0.452863623,0.744794225
23,0.423959768,34.24154125,0.000213177,0.138004958,0.010061898,66.18748339,5.71E-05,0.803961056,1.6924,0.434021666,0.941966014
24,0.408540937,34.62643212,0.000208465,0.138004958,0.010485854,65.80259252,5.77E-05,0.860944152,1.6924,0.419026791,0.99894911
25,0.392176063,35.01132299,0.000203908,0.138719437,0.012238207,65.41770165,5.84E-05,0.712441346,1.6924,0.40441427,0.851160783
26,0.377919039,35.39621386,0.000199499,0.113225133,0.012322998,65.03281078,5.91E-05,0.827088131,1.6924,0.390242037,0.940313264
27,0.363313472,35.78110473,0.000195231,0.106499109,0.01308612,64.64791991,5.98E-05,0.840595568,1.6924,0.376399592,0.947094677
28,0.348209988,36.16599559,0.000191098,0.122445227,0.014160142,64.26302904,6.05E-05,0.812172513,1.6924,0.36237013,0.93461774
29,0.336293174,36.55088646,0.000187095,0.086496416,0.015827704,63.87813817,6.13E-05,0.706311627,1.6924,0.352120878,0.792808043
30,0.322002954,36.93577733,0.000183217,0.111139239,0.016082078,63.4932473,6.20E-05,0.802951488,1.6924,0.338085032,0.914090727
31,0.30834343,37.3206682,0.000179458,0.13573391,0.015629858,63.10835643,6.28E-05,1,1.6924,0.323973288,1.13573391
